date,number_of_predictions,correct_predictions,direction_accuracy,average_direction_score_pct,high_success_rate,low_success_rate,high_low_within_2pct_rate,average_high_miss_pct,average_low_miss_pct,average_high_accuracy_pct,average_low_accuracy_pct,average_range_accuracy_pct,average_combined_accuracy_pct,average_plain_overall_accuracy_pct,average_probability_up,average_confidence
2026-05-08,250,142,0.568,56.8,0.828,0.788,0.716,1.3906042610734055,1.443902344994721,98.6093957389266,98.55609765500527,98.58274669696594,84.65516446464395,55.98508746715433,0.4878984258204541,0.05357414305469699
2026-05-11,250,108,0.432,43.2,0.772,0.82,0.728,1.384811364978665,1.3918332086945726,98.61518863502133,98.60816679130542,98.61167771316339,80.14111847544225,42.56110947454946,0.4886579920048236,0.0487876761795113
2026-05-12,250,144,0.576,57.6,0.796,0.852,0.732,1.3518305066646812,1.120430517595508,98.64816949333532,98.87956948240449,98.7638694878699,85.04257965857994,56.85537351381261,0.4889393823234193,0.04929052880321695
2026-05-13,250,122,0.488,48.8,0.864,0.872,0.768,1.1065324024634249,1.2880258988742352,98.89346759753657,98.71197410112578,98.80272084933118,82.13514723288745,48.24288303231304,0.4892891071787103,0.04565935621342375
2026-05-14,250,122,0.488,48.8,0.664,0.76,0.592,1.8360095860804237,1.3380225890281103,98.16399041391958,98.66197741097189,98.41298391244574,81.87532260829715,48.15620042098023,0.49048501990735355,0.047510434680075195
2026-05-15,250,95,0.38,38.0,0.824,0.872,0.78,1.258474084254155,1.4140849626555383,98.74152591574585,98.58591503734446,98.66372047654517,78.44248031769676,37.571363054104296,0.4982174959394088,0.04909322858945092
2026-05-18,250,120,0.48,48.0,0.748,0.888,0.712,1.335849377125828,0.9765958755098305,98.66415062287417,99.02340412449017,98.84377737368217,81.89585158245478,47.516301819911845,0.4917324171393017,0.05439569736252456
2026-05-19,250,143,0.572,57.2,0.872,0.772,0.728,1.1292098080484942,1.377275783643111,98.8707901919515,98.62272421635689,98.7467572041542,84.8978381361028,56.431025654116475,0.496565554403556,0.04906603169769554
2026-05-20,250,122,0.488,48.8,0.836,0.864,0.76,1.2864446189161503,1.096482984732703,98.71355538108385,98.9035170152673,98.80853619817557,82.13902413211704,48.11396157938344,0.4938886538076634,0.04530606257478032
2026-05-21,250,110,0.44,44.0,0.888,0.764,0.744,1.0681735385142774,1.556590474312136,98.93182646148571,98.44340952568787,98.6876179935868,80.45841199572453,43.401615924760584,0.4953413050322436,0.04320748179975272
2026-05-22,250,164,0.656,65.6,0.792,0.716,0.648,1.3797995908545448,1.6284144872632065,98.62020040914545,98.3715855127368,98.49589296094113,87.53059530729408,64.5164073534504,0.49412849390195457,0.05156756254583054
2026-05-26,250,125,0.5,50.0,0.824,0.808,0.712,1.2970842492618673,1.3445395277595398,98.70291575073813,98.65546047224046,98.6791881114893,82.4527920743262,49.368794097523725,0.49500027004137986,0.04974471411501705
2026-05-27,250,117,0.468,46.8,0.844,0.86,0.776,1.1773678503759082,1.0629722346006312,98.82263214962408,98.93702776539936,98.87982995751173,81.51988663834115,46.32730919769644,0.499067204093314,0.054059205086960986
2026-05-28,250,113,0.452,45.2,0.828,0.86,0.772,1.6104752501355823,1.2944320439721784,98.38952474986442,98.70556795602782,98.54754635294611,80.76503090196408,44.686317785747946,0.4958012827511287,0.056099070767443394
2026-05-29,250,129,0.516,51.6,0.644,0.7,0.548,2.013359372678993,1.5984920605079667,97.986640627321,98.40150793949203,98.19407428340652,82.6627161889377,50.76876049042891,0.49797566697042756,0.06245774015033954
2026-06-01,250,149,0.596,59.6,0.732,0.768,0.668,1.7009709489547353,1.6215654216834743,98.29902905104527,98.37843457831652,98.3387318146809,85.42582120978726,58.49602207693935,0.4926511474571463,0.05961447289886868
2026-06-02,250,143,0.572,57.2,0.732,0.792,0.632,1.5013830789898595,1.4154353098759491,98.49861692101014,98.58456469012405,98.5415908055671,84.76106053704473,56.33874051270843,0.4894233016513158,0.04938947556484582
2026-06-03,250,88,0.352,35.2,0.684,0.596,0.5,1.7615873545942289,1.9662192557620457,98.23841264540577,98.03378074423796,98.13609669482186,77.15739779654791,34.6418673057663,0.49400215908847833,0.04844178042107297
2026-06-04,250,100,0.4,40.0,0.692,0.668,0.556,1.9744117772584213,2.208860861379156,98.02558822274158,97.79113913862084,97.90836368068122,78.6055757871208,39.36726131206047,0.49246456201367017,0.06024609000509946
