rank_1y_performance,symbol,companyName,exchange,sector,industry,marketCap,as_of_date,latest_price,return_1d_pct,return_5d_pct,return_1m_pct,return_3m_pct,return_6m_pct,return_1y_pct,ytd_return_pct,one_year_high,drawdown_from_1y_high_pct,observations
101,AEP,American Electric Power,US,Utilities,Electric Utilities,70265723500.0,2026-06-05,129.14,1.06,1.95,-1.87,-1.36,11.05,30.81,13.21,136.1611,-5.16,288
102,MO,Altria,US,Consumer Staples,Tobacco,120549452332.0,2026-06-05,72.19,2.25,3.75,2.88,10.36,27.96,30.28,28.07,74.55,-3.17,288
103,TFC,Truist Financial,US,Financials,Diversified Banks,61297261281.0,2026-06-05,49.2,0.04,2.05,-2.13,6.95,5.91,30.17,0.97,54.675,-10.01,288
104,PCAR,Paccar,US,Industrials,Construction Machinery & Heavy Transportation Equipment,61407077360.0,2026-06-05,116.68,-1.18,5.72,0.46,-2.81,9.49,29.21,5.19,129.0791,-9.61,288
105,LHX,L3Harris,US,Industrials,Aerospace & Defense,57347172265.0,2026-06-05,307.83,-0.23,-1.94,2.28,-15.69,11.67,29.1,1.86,375.6443,-18.05,288
106,NSC,Norfolk Southern,US,Industrials,Rail Transportation,70398992355.0,2026-06-05,313.45,2.04,2.78,-0.77,3.95,7.53,29.05,9.86,325.68,-3.76,288
107,EOG,EOG Resources,US,Energy,Oil & Gas Exploration & Production,73385558213.0,2026-06-05,137.78,-2.2,3.3,2.29,5.66,25.7,28.82,30.67,148.7352,-7.37,288
108,AME,Ametek,US,Industrials,Electrical Components & Equipment,51925940803.0,2026-06-05,226.55,-0.97,0.31,-6.14,2.22,14.08,28.68,8.5,241.38,-6.14,288
109,ORCL,Oracle Corporation,US,Information Technology,Application Software,614553488215.0,2026-06-05,213.68,-9.59,-5.36,10.13,40.18,3.5,28.39,9.85,325.7593,-34.41,288
110,WAB,Wabtec,US,Industrials,Construction Machinery & Heavy Transportation Equipment,44183979863.0,2026-06-05,260.4,-0.81,-0.29,-3.61,6.55,22.29,28.31,20.69,270.6108,-3.77,288
111,GD,General Dynamics,US,Industrials,Aerospace & Defense,93687834645.0,2026-06-05,346.44,1.45,-0.11,-0.24,-4.25,3.37,28.28,1.77,365.6815,-5.26,288
112,CDNS,Cadence Design Systems,US,Information Technology,Application Software,103759221713.0,2026-06-05,376.19,-8.62,0.34,6.0,26.69,11.92,27.78,21.2,416.39,-9.65,288
113,TJX,TJX Companies,US,Consumer Discretionary,Apparel Retail,177537058933.0,2026-06-05,160.71,1.31,3.85,3.72,1.2,7.75,27.02,4.8,164.4613,-2.28,288
114,NEE,NextEra Energy,US,Utilities,Multi-Utilities,179028356293.0,2026-06-05,85.84,0.92,-0.62,-9.35,-5.0,2.48,26.4,7.57,97.1683,-11.66,288
115,UNP,Union Pacific Corporation,US,Industrials,Rail Transportation,161679986513.0,2026-06-05,272.32,3.19,3.69,2.05,7.72,17.66,26.09,18.65,277.946,-2.02,288
116,AMGN,Amgen,US,Health Care,Biotechnology,188671211178.0,2026-06-05,349.58,1.15,3.8,6.38,-4.68,2.68,25.46,8.25,385.2508,-9.26,288
117,BMY,Bristol Myers Squibb,US,Health Care,Pharmaceuticals,116949421250.0,2026-06-05,57.27,1.18,0.16,1.2,-4.03,14.88,25.4,8.23,61.7335,-7.23,288
118,ABBV,AbbVie,US,Health Care,Biotechnology,401468325167.0,2026-06-05,227.23,1.02,4.37,10.83,-0.43,0.31,25.24,0.72,238.7139,-4.81,288
119,BAC,Bank of America,US,Financials,Diversified Banks,382009487738.0,2026-06-05,53.83,-0.11,4.86,0.95,11.25,1.12,24.72,-2.74,56.6339,-4.95,288
120,D,Dominion Energy,US,Utilities,Multi-Utilities,58839386522.0,2026-06-05,66.9,0.6,-0.06,9.62,6.85,15.04,24.56,15.28,67.613,-1.05,288
121,WMB,Williams Companies,US,Energy,Oil & Gas Storage & Transportation,88006954030.0,2026-06-05,71.96,-0.65,0.8,-2.44,-2.37,18.73,23.61,19.11,79.4,-9.37,288
122,SRE,Sempra,US,Utilities,Multi-Utilities,59761929402.0,2026-06-05,91.42,1.2,2.57,-2.4,-0.62,2.2,23.26,2.62,99.75,-8.35,288
123,ETN,Eaton Corporation,US,Industrials,Electrical Components & Equipment,153743502948.0,2026-06-05,395.94,-5.42,-1.16,-5.78,14.53,18.69,22.46,21.68,431.8167,-8.31,288
124,GWW,W. W. Grainger,US,Industrials,Industrial Machinery & Supplies & Components,61377527292.0,2026-06-05,1300.01,0.83,5.33,11.35,17.06,34.39,21.87,30.01,1300.01,0.0,288
125,GILD,Gilead Sciences,US,Health Care,Biotechnology,160361169473.0,2026-06-05,129.16,-0.02,-3.92,-5.24,-9.75,4.6,21.62,6.82,154.9202,-16.63,288
126,EQIX,Equinix,US,Real Estate,Data Center REITs,106607876060.0,2026-06-05,1080.95,-0.75,1.21,-0.15,15.91,49.06,21.19,42.94,1109.801,-2.6,288
127,WMT,Walmart,US,Consumer Staples,Consumer Staples Merchandise Retail,946056428089.0,2026-06-05,118.88,0.97,2.7,-8.44,-3.59,4.53,20.66,5.85,134.2,-11.42,288
128,JPM,JPMorgan Chase,US,Financials,Diversified Banks,836998968557.0,2026-06-05,312.37,0.48,4.36,-0.8,8.46,1.04,20.52,-3.1,332.9062,-6.17,288
129,PFE,Pfizer,US,Health Care,Pharmaceuticals,148413531379.0,2026-06-05,26.04,1.36,-0.53,-0.23,-2.14,5.25,19.11,6.88,28.0864,-7.29,288
130,XEL,Xcel Energy,US,Utilities,Multi-Utilities,49342266594.0,2026-06-05,79.04,1.63,-0.58,-1.87,-3.51,2.36,19.04,6.62,83.2943,-5.11,288
131,AMZN,Amazon,US,Consumer Discretionary,Broadline Retail,2646571621408.0,2026-06-05,246.03,-3.06,-9.09,-10.53,15.39,5.87,18.72,8.62,274.99,-10.53,288
132,TSLA,"Tesla, Inc.",US,Consumer Discretionary,Automobile Manufacturers,1468488033561.0,2026-06-05,391.0,-6.56,-10.28,-1.94,-1.44,-12.48,17.75,-10.74,489.88,-20.18,288
133,UPS,United Parcel Service,US,Industrials,Air Freight & Logistics,92259682301.0,2026-06-05,108.54,-1.52,1.73,10.49,7.82,13.95,17.71,10.78,116.3876,-6.74,288
134,KMI,Kinder Morgan,US,Energy,Oil & Gas Storage & Transportation,70482480661.0,2026-06-05,31.68,-0.06,1.93,0.32,-4.79,18.82,17.71,16.5,34.31,-7.67,288
135,TMO,Thermo Fisher Scientific,US,Health Care,Life Sciences Tools & Services,175702624116.0,2026-06-05,472.8,-1.91,-4.0,-0.03,-5.72,-18.4,17.56,-20.12,638.8185,-25.99,288
136,AFL,Aflac,US,Financials,Life & Health Insurance,60182373962.0,2026-06-05,118.24,2.56,5.18,4.81,6.8,9.58,17.44,8.39,118.24,0.0,288
137,GRMN,Garmin,US,Consumer Discretionary,Consumer Electronics,45623994066.0,2026-06-05,236.57,-2.23,1.13,-2.57,-2.47,19.57,17.33,17.31,267.52,-11.57,288
138,FAST,Fastenal,US,Industrials,Trading Companies & Distributors,53716561555.0,2026-06-05,46.79,-0.78,5.86,4.65,1.25,14.75,16.85,16.96,49.5893,-5.65,288
139,CRH,CRH plc,US,Materials,Construction Materials,70201113062.0,2026-06-05,105.06,-1.42,-3.43,-8.24,-0.91,-12.81,16.43,-16.31,130.4444,-19.46,288
140,DE,Deere & Company,US,Industrials,Agricultural & Farm Machinery,157492291901.0,2026-06-05,583.44,-1.4,7.61,-1.39,-0.78,21.87,16.41,25.35,660.558,-11.67,288
141,OKE,Oneok,US,Energy,Oil & Gas Storage & Transportation,55600399189.0,2026-06-05,88.25,-0.79,5.13,3.1,2.74,20.88,15.64,21.78,95.24,-7.34,288
